temp,humidity,watertemp,ph,ec,label
30.2,80.4,30.44,8,0.58,4
30.1,80.4,30.37,8.05,0.15,7
30.1,80.2,30.31,8.08,0.34,7
30,80.5,30.25,7.95,0.94,4
30,79.8,30.25,7.95,0.54,4
30.1,79.7,30.25,7.95,0.27,7
30.1,79.4,30.19,8.07,0.42,7
30,79,30.12,8.11,0.37,7
30,79.2,30.12,8.04,0.19,7
29.9,79.1,30.06,8,0.39,4
29.9,79.2,30.06,7.9,0.84,4
29.9,79.3,30,7.99,0.12,7
29.9,79.4,30,8.07,0.14,7
29.9,79.6,29.94,8.08,0.67,4
29.9,79.8,29.87,8.02,0.27,7
29.8,80.2,29.87,8.12,0.55,4
29.8,80.3,29.87,7.99,0.32,7
29.8,80.4,29.81,8.05,0.74,4
28.3,80.4,28.56,6.26,0.47,3
28.2,80.6,28.56,6.31,0.28,0
28.3,80.8,28.5,6.34,0.58,0
28.2,80.9,28.5,6.41,0.51,3
28.3,80.6,28.5,6.57,0.84,0
28.3,80.5,28.5,6.67,0.13,3
28.3,80.3,28.44,6.68,0.48,3
28.3,80.5,28.44,6.82,0.89,0
28.2,80.6,28.38,6.99,0.43,3
28.2,80.7,28.38,7.12,0.73,0
28.1,80.8,28.31,7.27,0.31,6
28.1,80.9,28.25,7.4,0.45,6
28,81,28.25,7.46,0.18,6
28,81.1,28.19,7.6,0.75,2
28,81.2,28.19,7.61,0.8,2
28,81.3,28.19,7.72,0.95,2
28,81.4,28.12,7.74,0.39,6
28,81.5,28.12,7.8,0.57,2
27.9,81.6,28.12,7.83,0.66,2
27.9,81.7,28.06,7.88,0.5,2
27.9,81.7,28.12,7.85,0.22,2
27.9,81.8,28.06,7.88,0.38,2
27.9,81.8,28.06,7.91,0.28,6
27.9,81.9,28,7.91,0.6,2
27.8,81.9,28,7.9,0.15,2
27.9,82,28,7.98,0.38,6
27.8,82.1,28,7.92,0.14,6
27.8,82.2,27.94,7.94,0.8,2
